actor/clip_fraction,actor/entropy,actor/iterations,actor/kl,actor/loss,actor/std,actor/stop,critic/iterations,critic/loss,critic/v,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
0.15262395,1.0485078,44.0,0.009220113,-0.016842015,0.6904591,0.011363636363636364,80.0,1.6489369,3.9951158,2.7884452,-0.09490598,-2.6714907,5000,0.69690853,1000,1000.0,1000,5,0.0,185.75289264915045,141.6901250482064,93.87711059115827,5,33.708652077252445,2.770799,-0.06351799,-3.1760478,20000,0.6972631,1000,1000.0,1000,20,0.0,182.1846680798335,100.0640492865983,46.94198634455097,20,33.61781636883188,20.0,55.30123805999756,20000.0,1.0,55.30123805999756,20000.0,361.6555560347772,20000.0
0.14037098,1.0319524,34.6,0.0064123105,-0.017189553,0.67923355,0.017341040462427744,80.0,2.4439383,13.626718,2.8430452,-0.08001085,-2.849533,5000,0.7617791,1000,1000.0,1000,5,0.0,410.78068711643573,297.993102992198,188.9288284542854,5,80.82556595185375,3.1297116,-0.07978782,-3.4652367,20000,0.72950584,1000,1000.0,1000,20,0.0,376.34766346542165,219.76126664618286,126.44367433027219,20,72.06983779307224,40.0,59.36039853096008,20000.0,2.0,114.78311824798584,40000.0,336.924961674049,40000.0
0.14695267,1.0167459,34.2,0.009444576,-0.018004019,0.669062,0.017543859649122806,80.0,2.327139,26.468575,3.159213,-0.034347527,-3.1151028,5000,0.8382649,1000,1000.0,1000,5,0.0,439.3369874919299,357.3723243096145,295.7738904473372,5,56.092546626466415,3.2991486,-0.0579911,-3.5714471,20000,0.8168876,1000,1000.0,1000,20,0.0,495.9660449993098,349.39685806128693,253.58782534010243,20,63.394699546085775,60.0,58.22158432006836,20000.0,3.0,173.15064907073975,60000.0,343.51521404934033,60000.0
0.14209555,0.9877614,34.2,0.0070291054,-0.018693907,0.6499449,0.017543859649122806,80.0,1.8170017,35.102943,3.3884592,-0.0224156,-3.3427246,5000,0.9029,1000,1000.0,1000,5,0.0,655.4427607189864,520.8264044404262,382.7655402086675,5,103.95361157794397,3.4449348,-0.0352925,-3.3311524,20000,0.86202544,1000,1000.0,1000,20,0.0,509.7942811140092,394.25769258165167,317.2686919309199,20,53.55903436906902,80.0,56.23543357849121,20000.0,4.0,229.51313948631287,80000.0,355.647653575655,80000.0
0.12389872,0.95356905,64.6,0.008065933,-0.0172658,0.6280997,0.006191950464396285,80.0,2.0075767,42.70054,3.0094738,-0.005131396,-3.2821474,5000,0.91697747,1000,1000.0,1000,5,0.0,559.8862561995629,495.16256073801776,393.48209054768085,5,58.793181513734325,3.3662262,-0.015100559,-3.5979931,20000,0.90355635,1000,1000.0,1000,20,0.0,654.0716455073562,473.41785862443356,357.9460003102431,20,90.26991340387758,100.0,64.29501962661743,20000.0,5.0,293.9992218017578,100000.0,311.0660843739788,100000.0
0.116630286,0.9195113,34.0,0.005839468,-0.017200654,0.60704017,0.01764705882352941,80.0,2.1927166,54.58158,3.0494666,-0.017993525,-3.0990412,5000,0.9559295,1000,1000.0,1000,5,0.0,609.4095152607188,545.4529153699987,436.87451751343906,5,61.032012610595146,3.6851969,-0.011994537,-3.2769802,20000,0.94381624,1000,1000.0,1000,20,0.0,778.1046780832112,605.9263217768327,416.9670844580978,20,109.37556088378368,120.0,58.50855875015259,20000.0,6.0,352.638658285141,120000.0,341.830330933384,120000.0
0.08907377,0.9050471,5.2,0.008031633,-0.0033576468,0.5983098,0.19230769230769232,80.0,1.8651478,59.103928,3.1784563,-0.015506158,-3.3040204,5000,0.9776627,1000,1000.0,1000,5,0.0,790.6780420970172,605.245269591175,456.2758781602606,5,131.05200400696694,3.4175692,0.0025135635,-3.2054904,20000,0.9711523,1000,1000.0,1000,20,0.0,791.6207963433117,611.7184031629586,441.8587838211097,20,110.89458065864349,140.0,51.403995990753174,20000.0,7.0,404.1707799434662,140000.0,389.07481051857735,140000.0
0.12344396,0.8771024,51.4,0.00872912,-0.016793575,0.5819143,0.007782101167315175,80.0,1.5302423,62.93254,3.0807624,-0.009046677,-3.1990848,5000,0.95723796,1000,1000.0,1000,5,0.0,670.957825742662,526.1708841212094,442.61960606090724,5,94.01073101179871,3.173738,-0.010319143,-3.3237228,20000,0.9827104,1000,1000.0,1000,20,0.0,843.5952783831162,647.2835816037812,462.4138600602746,20,119.12816595269872,160.0,61.59553408622742,20000.0,8.0,465.9334514141083,160000.0,324.698864888517,160000.0
0.11244126,0.81613576,80.0,0.007326023,-0.017194187,0.5476653,0.0,80.0,1.3269757,63.588825,3.3333697,-0.0052059544,-3.0919926,5000,0.9922001,1000,1000.0,1000,5,0.0,881.0802696775645,678.1507078498602,499.6981218699366,5,128.30963100929947,3.2969959,-0.007877708,-3.150713,20000,0.98464906,1000,1000.0,1000,20,0.0,873.3276078701019,650.693036062806,459.85740476101637,20,110.00160937674869,180.0,59.769562005996704,20000.0,9.0,525.829962015152,180000.0,334.6184801888525,180000.0
0.11206968,0.77260673,58.8,0.008675127,-0.016767424,0.52455616,0.006802721088435374,80.0,1.1491472,63.685272,3.6001472,0.0012812698,-2.9058788,5000,0.99041885,1000,1000.0,1000,5,0.0,654.0849487101659,576.7055059511215,517.712073372677,5,44.46566495381414,3.2747397,-0.004217437,-3.2666624,20000,0.99568605,1000,1000.0,1000,20,0.0,874.3064456637949,647.2184420764213,506.95571037288755,20,110.65724089638174,200.0,61.40128517150879,20000.0,10.0,587.3549082279205,200000.0,325.72608120717854,200000.0
0.111946,0.71747434,74.6,0.01022106,-0.016992925,0.49658826,0.002680965147453083,80.0,0.9843571,70.06225,3.040916,-0.00947702,-3.0972762,5000,0.9916977,1000,1000.0,1000,5,0.0,889.1467882394791,781.0304913880303,589.8279925966635,5,109.04892283377198,2.947265,-0.01048219,-3.4444888,20000,0.9926744,1000,1000.0,1000,20,0.0,914.8847316121683,713.1516795057571,540.083912089467,20,131.1198954634091,220.0,72.23472571372986,20000.0,11.0,659.764315366745,220000.0,276.8751428400391,220000.0
